base,target,last,volume,converted_last,converted_volume,timestamp,last_traded_at,last_fetch_at
BTC,USDT,66980.1,273.09444341,"{'btc': 1.001456, 'eth': 25.14513, 'usd': 67034, 'usd_v2': 66948}","{'btc': 273.492, 'eth': 6867, 'usd': 18306565, 'usd_v2': 18283172}",2024-10-21 15:46:35+00:00,2024-10-21 15:46:35+00:00,2024-10-21 15:47:02+00:00
BTC,USDT,66984.49,386.12817574,"{'btc': 1.000886, 'eth': 25.130817, 'usd': 66996, 'usd_v2': 66953}","{'btc': 386.47, 'eth': 9704, 'usd': 25868915, 'usd_v2': 25852268}",2024-10-21 15:46:35+00:00,2024-10-21 15:46:35+00:00,2024-10-21 15:47:02+00:00
BTC,USD,66889.0,241.39522,"{'btc': 1.00025, 'eth': 25.138767, 'usd': 66889}","{'btc': 246.829, 'eth': 6203, 'usd': 16506026}",2024-10-21 15:42:30+00:00,2024-10-21 15:42:30+00:00,2024-10-21 15:42:30+00:00
ETH,BTC,0.039843,9197.89543,"{'btc': 1.0, 'eth': 25.109213, 'usd': 66914}","{'btc': 364.544, 'eth': 9153, 'usd': 24393004}",2024-10-21 15:45:56+00:00,2024-10-21 15:45:56+00:00,2024-10-21 15:46:56+00:00
BTC,USDC,66871.14,286.3756,"{'btc': 0.99932785, 'eth': 25.116559, 'usd': 66829, 'usd_v2': 66858}","{'btc': 292.855, 'eth': 7360, 'usd': 19584534, 'usd_v2': 19592828}",2024-10-21 15:41:41+00:00,2024-10-21 15:41:41+00:00,2024-10-21 15:41:41+00:00
BTC,EUR,61798.63,276.00162,"{'btc': 0.99922805, 'eth': 25.089182, 'usd': 66885}","{'btc': 280.704, 'eth': 7048, 'usd': 18789308}",2024-10-21 15:46:34+00:00,2024-10-21 15:46:34+00:00,2024-10-21 15:47:01+00:00
BTC,USDT,67067.08,199.012356,"{'btc': 1.002268, 'eth': 25.189474, 'usd': 67024, 'usd_v2': 67034}","{'btc': 199.464, 'eth': 5013, 'usd': 13338589, 'usd_v2': 13340504}",2024-10-21 15:42:33+00:00,2024-10-21 15:42:33+00:00,2024-10-21 15:42:33+00:00
BTC,JPY,10070701.0,194.664,"{'btc': 1.001404, 'eth': 25.151903, 'usd': 66962}","{'btc': 194.937, 'eth': 4896, 'usd': 13035151}",2024-10-21 15:44:54+00:00,2024-10-21 15:44:54+00:00,2024-10-21 15:44:54+00:00
BTC,EUR,61814.73,357.28496407,"{'btc': 0.99948837, 'eth': 25.095719, 'usd': 66902}","{'btc': 357.102, 'eth': 8966, 'usd': 23903114}",2024-10-21 15:47:01+00:00,2024-10-21 15:47:01+00:00,2024-10-21 15:47:02+00:00
ETH,BTC,0.0398,4425.46,"{'btc': 1.0, 'eth': 25.132484, 'usd': 66872}","{'btc': 175.277, 'eth': 4405, 'usd': 11721180}",2024-10-21 15:42:09+00:00,2024-10-21 15:42:09+00:00,2024-10-21 15:42:09+00:00
BTC,USDC,66900.44,917.331676,"{'btc': 1.000052, 'eth': 25.114496, 'usd': 66891, 'usd_v2': 66887}","{'btc': 917.38, 'eth': 23038, 'usd': 61360894, 'usd_v2': 61357619}",2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00,2024-10-21 15:45:37+00:00
ETH,BTC,0.03983,10622.569926,"{'btc': 1.0, 'eth': 25.109213, 'usd': 66914}","{'btc': 421.332, 'eth': 10579, 'usd': 28192859}",2024-10-21 15:46:40+00:00,2024-10-21 15:46:40+00:00,2024-10-21 15:46:40+00:00
BTC,USDC,66902.02,218.7380964,"{'btc': 1.000076, 'eth': 25.115089, 'usd': 66892, 'usd_v2': 66889}","{'btc': 223.397, 'eth': 5610, 'usd': 14942417, 'usd_v2': 14941620}",2024-10-21 15:45:50+00:00,2024-10-21 15:45:50+00:00,2024-10-21 15:45:50+00:00
BTC,USDC,66860.7,149.76824,"{'btc': 1.000207, 'eth': 25.129206, 'usd': 66874, 'usd_v2': 66847}","{'btc': 152.932, 'eth': 3842, 'usd': 10225081, 'usd_v2': 10220986}",2024-10-21 15:43:31+00:00,2024-10-21 15:43:31+00:00,2024-10-21 15:43:31+00:00
BTC,USDC,66953.41,137.73076096,"{'btc': 1.001299, 'eth': 25.141174, 'usd': 67023, 'usd_v2': 66940}","{'btc': 137.91, 'eth': 3463, 'usd': 9231167, 'usd_v2': 9219700}",2024-10-21 15:47:01+00:00,2024-10-21 15:47:01+00:00,2024-10-21 15:47:02+00:00
BTC,USD,66871.0,126.72973378,"{'btc': 1.000038, 'eth': 25.117606, 'usd': 66871}","{'btc': 126.735, 'eth': 3183, 'usd': 8474544}",2024-10-21 15:44:56+00:00,2024-10-21 15:44:56+00:00,2024-10-21 15:44:56+00:00
BTC,EUR,61838.0,237.68565744,"{'btc': 0.99986462, 'eth': 25.105166, 'usd': 66927}","{'btc': 237.653, 'eth': 5967, 'usd': 15907656}",2024-10-21 15:47:02+00:00,2024-10-21 15:47:02+00:00,2024-10-21 15:47:02+00:00
BTC,GBP,51540.72,124.65426746,"{'btc': 1.00092, 'eth': 25.143935, 'usd': 66920}","{'btc': 124.769, 'eth': 3134, 'usd': 8341843}",2024-10-21 15:43:51+00:00,2024-10-21 15:43:51+00:00,2024-10-21 15:43:51+00:00
ETH,BTC,0.03983,49212.662,"{'btc': 1.0, 'eth': 25.124015, 'usd': 66860}","{'btc': 1960, 'eth': 49247, 'usd': 131055562}",2024-10-21 15:43:10+00:00,2024-10-21 15:43:10+00:00,2024-10-21 15:43:10+00:00
BTC,EUR,61847.0,111.07209198,"{'btc': 1.000349, 'eth': 25.117964, 'usd': 66937}","{'btc': 112.846, 'eth': 2833, 'usd': 7550947}",2024-10-21 15:46:43+00:00,2024-10-21 15:46:43+00:00,2024-10-21 15:46:43+00:00
SOL,BTC,0.00245406,65327.73,"{'btc': 1.0, 'eth': 25.124015, 'usd': 66860}","{'btc': 160.318, 'eth': 4028, 'usd': 10718920}",2024-10-21 15:43:08+00:00,2024-10-21 15:43:08+00:00,2024-10-21 15:43:08+00:00
BTC,JPY,10071650.0,212.9702,"{'btc': 1.001959, 'eth': 25.182808, 'usd': 67023}","{'btc': 213.387, 'eth': 5363, 'usd': 14273954}",2024-10-21 15:41:15+00:00,2024-10-21 15:41:15+00:00,2024-10-21 15:41:15+00:00
ETH,BTC,0.03978,3699.10164014,"{'btc': 1.0, 'eth': 25.131501, 'usd': 66864}","{'btc': 147.15, 'eth': 3698, 'usd': 9839039}",2024-10-21 15:37:47+00:00,2024-10-21 15:37:47+00:00,2024-10-21 15:42:46+00:00
SOL,XBT,0.0024541,38706.68558529,"{'btc': 1.0, 'eth': 25.109213, 'usd': 66914}","{'btc': 94.99, 'eth': 2385, 'usd': 6356138}",2024-10-21 15:46:59+00:00,2024-10-21 15:46:59+00:00,2024-10-21 15:46:59+00:00
